Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color
7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,0,85.5,11.3,2,0,green
7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,0,85.5,9.1,0,0,green
8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,0,85.5,10.6,0,0,green
8,8,8,7.92,7.75,7.92,10,10,10,7.92,0,85.5,10.2,0,0,blue-green
8,7.92,8,7.83,7.67,8,10,10,10,8,0,85.42,9.3,0,0,green
8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,0,85.42,11.4,0,0,bluish-green
7.92,8,7.83,7.92,7.83,7.83,10,10,10,8,0,85.33,10.8,0,0,green
8.08,8.17,7.67,7.83,7.67,7.92,10,10,10,8,0,85.33,11.3,0,0,green
7.67,7.83,7.83,8,8,8,10,10,10,8,0,85.33,9.9,0,2,green
8,8.08,8,8,7.67,7.75,10,10,10,7.83,0,85.33,12.3,0,3,yellow green
7.92,7.75,7.83,8.17,8,7.75,10,10,10,7.83,0,85.25,9.4,0,1,greenish
8,7.92,7.83,7.92,7.83,7.83,10,10,10,7.92,0,85.25,9.5,0,0,bluish-green
8.25,8.08,7.83,7.75,7.67,7.75,10,10,10,7.92,0,85.25,11.3,0,0,green
8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,0,85.25,9.2,0,0,greenish
7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,0,85.17,10.3,0,0,bluish-green
8,7.92,7.83,7.92,7.75,7.75,10,10,10,7.92,0,85.08,10,0,0,brownish
8,8.08,7.67,7.75,7.92,7.83,10,10,10,7.83,0,85.08,10.5,0,0,greenish
8,7.92,7.67,8,7.75,7.83,10,10,10,7.92,0,85.08,10,0,0,pale yellow
8,7.92,7.75,7.75,7.75,7.92,10,10,10,7.92,0,85,11,0,0,green
7.92,8,7.92,8,7.58,7.75,10,10,10,7.83,0,85,10.9,0,0,green
8.17,8.08,7.83,7.67,7.67,7.75,10,10,10,7.83,0,85,10.1,0,0,yellow green
7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,0,85,9.9,0,1,green
7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,0,85,11.3,0,0,green
7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,0,84.92,11.7,0,3,green
7.92,7.92,7.83,7.83,7.75,7.83,10,10,10,7.83,0,84.92,9.5,0,0,green
8,8,7.75,7.75,7.67,7.75,10,10,10,7.92,0,84.83,9.7,0,0,brownish
7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,0,84.83,11.9,0,3,bluish-green
8,8,7.83,7.83,7.58,7.83,10,10,10,7.75,0,84.83,10.7,0,0,greenish
7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,0,84.83,11.2,0,0,greenish
7.83,7.83,7.67,7.67,7.83,8,10,10,10,8,0,84.83,9.5,0,0,greenish
7.67,7.92,7.92,7.83,7.75,7.83,10,10,10,7.83,0,84.75,10.4,0,0,green
7.83,7.92,7.75,7.92,7.67,7.83,10,10,10,7.83,0,84.75,11.2,0,1,green
7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,0,84.75,10.3,0,1,bluish-green
7.92,8.08,7.67,7.92,7.67,7.75,10,10,10,7.75,0,84.75,10,0,0,blue-green
7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,0,84.67,10.6,0,0,green
7.83,8,7.67,7.83,7.75,7.75,10,10,10,7.83,0,84.67,10.9,0,3,yellow-green
7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,0,84.67,10,0,1,green
7.83,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0,84.58,9.6,0,0,greenish
8.17,7.83,7.67,7.83,7.67,7.67,10,10,10,7.75,0,84.58,11.5,0,0,green
7.92,7.75,7.67,7.67,7.83,7.75,10,10,10,8,0,84.58,9.9,1,0,green
8.08,7.83,7.67,7.67,7.67,7.75,10,10,10,7.92,0,84.58,11.2,0,0,green
7.83,8,7.67,7.75,7.67,7.75,10,10,10,7.92,0,84.58,10.3,0,0,green
8,7.83,7.75,7.67,7.58,7.83,10,10,10,7.92,0,84.58,11.6,0,0,brownish
7.75,7.83,7.67,7.83,7.75,7.75,10,10,10,7.92,0,84.5,11.7,0,1,green
7.75,7.92,7.83,7.75,7.75,7.75,10,10,10,7.75,0,84.5,11.3,0,0,bluish-green
7.83,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84.5,9.8,0,0,green
7.92,7.83,7.75,7.92,7.58,7.67,10,10,10,7.83,0,84.5,10.9,0,0,green
8.08,7.92,7.75,7.83,7.5,7.58,10,10,10,7.83,0,84.5,10.2,0,0,green
7.83,8,7.5,7.75,7.75,7.75,10,10,10,7.83,0,84.42,10.1,0,0,bluish-green
7.67,7.83,7.75,7.75,7.83,7.75,10,10,10,7.75,0,84.33,9.2,0,1,green
7.92,7.83,7.75,7.92,7.5,7.67,10,10,10,7.75,0,84.33,10.1,3,0,yellow-green
7.83,7.75,7.58,7.92,8,7.5,10,10,10,7.75,0,84.33,11,0,5,yellow green
7.83,7.83,7.83,7.83,7.67,7.67,10,10,10,7.67,0,84.33,10.3,0,0,brownish
7.75,7.75,7.75,7.75,7.83,7.67,10,10,10,7.83,0,84.33,11.6,0,0,green
7.67,7.67,7.83,7.83,7.67,7.75,10,10,10,7.83,0,84.25,11.5,0,1,blue-green
7.58,7.92,7.67,7.75,7.83,7.75,10,10,10,7.75,0,84.25,10,0,0,green
7.92,7.92,7.58,7.75,7.58,7.67,10,10,10,7.83,0,84.25,12.1,0,0,blue-green
7.75,7.75,7.58,7.83,7.75,7.75,10,10,10,7.75,0,84.17,10.2,0,0,green
7.58,7.92,7.58,7.83,7.75,7.67,10,10,10,7.75,0,84.08,11,0,3,green
7.83,7.92,7.83,7.58,7.58,7.67,10,10,10,7.67,0,84.08,10.8,0,0,greenish
7.92,7.75,7.67,7.75,7.75,8,9.33,10,10,7.92,0,84.08,10.6,0,0,yello-green
7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,0,84.08,11,0,1,green
7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,0,84,11,0,2,green
7.75,7.75,7.75,7.67,7.75,7.67,10,10,10,7.67,0,84,9.4,0,0,green
7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84,9.8,0,0,greenish
8,7.75,7.5,7.67,7.67,7.67,10,10,10,7.75,0,84,11.3,1,1,green
7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,0,84,11.6,0,0,greenish
7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,0,84,13.3,0,2,green
7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,0,83.92,9.5,0,0,green
7.83,7.83,7.58,7.67,7.67,7.58,10,10,10,7.75,0,83.92,11.9,0,0,greenish
7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,0,83.92,10,0,1,green
7.75,7.67,7.58,7.75,7.75,7.67,10,10,10,7.75,0,83.92,11.6,0,0,yellowish
7.67,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,83.83,11.9,0,1,green
7.58,7.83,7.67,7.67,7.67,7.67,10,10,10,7.75,0,83.83,10.8,0,0,green
7.58,7.92,7.5,7.67,7.75,7.67,10,10,10,7.75,0,83.83,10.9,0,1,greenish
7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,0,83.83,12,0,0,green
7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,0,83.83,12.1,2,5,green
7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,0,83.83,11.8,0,3,green
7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,0,83.75,10.6,0,0,greenish
7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,0,83.75,11.7,4,0,green
7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,0,83.67,12.4,1,0,greenish
7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,83.67,10,0,0,bluish-green
7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,0,83.67,10.2,0,1,pale yellow
7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,0,83.67,9.2,0,0,greenish
7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,0,83.67,11.1,0,2,pale yellow
7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,0,83.58,8.4,0,0,green
7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,0,83.58,9.1,0,0,green
7.58,7.83,7.58,7.67,7.58,7.58,10,10,10,7.75,0,83.58,10.9,0,2,green
7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,83.5,11.2,0,1,green
7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,83.5,12.2,0,0,bluish-green
7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,0,83.5,13.1,0,0,green
7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,0,83.5,10.4,0,1,greenish
7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,0,83.42,11.6,0,2,green
7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0,83.42,10.1,0,0,green
7.75,7.92,7.67,7.92,7.75,7.83,8.67,10,10,7.92,0,83.42,10.1,0,0,blue-green
7.75,7.67,7.58,7.5,7.67,7.5,10,10,10,7.67,0,83.33,11.1,0,0,green
7.58,7.67,7.5,7.75,7.5,7.58,10,10,10,7.75,0,83.33,9.7,0,0,greenish
7.5,7.75,7.58,7.75,7.67,7.58,10,10,10,7.5,0,83.33,11.4,0,0,green
7.58,7.67,7.58,7.75,7.42,7.58,10,10,10,7.75,0,83.33,9.6,0,0,green
7.67,7.67,7.42,7.75,7.5,7.75,10,10,10,7.58,0,83.33,13.5,0,0,greenish
7.58,7.75,7.42,7.67,7.5,7.75,10,10,10,7.67,0,83.33,0,0,0,green
7.75,7.83,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.33,10.7,0,0,blue-green
7.92,7.92,7.75,7.33,7.58,7.5,10,10,10,7.33,0,83.33,12.3,0,0,yellow-green
7.92,7.67,7.42,7.5,7.67,7.58,10,10,10,7.5,0,83.25,10.4,0,0,greenish
7.58,7.5,7.5,7.83,7.67,7.5,10,10,10,7.67,0,83.25,11.6,0,0,green
7.75,7.75,7.58,7.67,7.42,7.5,10,10,10,7.58,0,83.25,9.6,0,0,green
7.67,7.67,7.58,7.67,7.58,7.58,10,10,10,7.5,0,83.25,10.9,0,0,brownish
7.67,7.75,7.67,7.58,7.5,7.58,10,10,10,7.5,0,83.25,10.5,0,0,bluish-green
7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0,83.25,11.3,0,1,green
7.75,7.75,7.5,7.75,7.5,7.42,10,10,10,7.5,0,83.17,9.7,0,0,greenish
7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.67,0,83.17,11.8,0,0,blue-green
7.67,7.75,7.33,7.67,7.58,7.5,10,10,10,7.58,0,83.08,11.8,0,0,brownish
7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.58,0,83.08,10.6,0,2,green
7.75,7.58,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.08,9.6,0,0,green
8,7.67,7.42,7.58,7.58,7.42,10,10,10,7.33,0,83,13.1,0,0,bluish-green
7.5,7.67,7.58,7.58,7.5,7.5,10,10,10,7.58,0,82.92,8.9,0,0,blue-green
7.75,7.5,7.42,7.67,7.58,7.5,10,10,10,7.5,0,82.92,11.9,2,0,green
7.58,7.5,7.5,7.67,7.58,7.5,10,10,10,7.58,0,82.92,11.5,0,1,greenish
7.67,7.5,7.42,7.75,7.42,7.58,10,10,10,7.58,0,82.92,10.2,0,0,yellow-green
7.67,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0,82.83,10,0,0,green
7.17,7.92,7.58,7.5,7.58,7.67,10,10,10,7.42,0,82.83,11.8,0,0,yellow-green
7.58,7.42,7.58,7.5,7.67,7.75,10,10,10,7.33,0,82.83,13.3,0,0,green
7.33,7.58,7.25,7.33,7.75,8.17,10,10,10,7.33,0,82.75,10.5,5,2,green
7.33,7.5,7.25,7.92,7.75,7.58,10,10,10,7.42,0,82.75,11.8,0,0,pale yellow
7.58,7.67,7.58,7.5,7.33,7.5,10,10,10,7.5,0,82.67,11.8,0,1,green
7.33,7.58,7.58,7.5,7.67,7.67,10,10,10,7.33,0,82.67,13,1,0,greenish
7.5,7.58,7.5,7.42,7.5,7.58,10,10,10,7.58,0,82.67,11.2,0,0,yellow green
7.67,7.58,7.33,7.5,7.58,7.5,10,10,10,7.5,0,82.67,9.6,0,0,green
7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.5,0,82.58,9.8,0,0,green
7.67,7.58,7.42,7.42,7.5,7.5,10,10,10,7.5,0,82.58,8.4,0,0,blue-green
7.5,7.58,7.42,7.58,7.5,7.58,10,10,10,7.42,0,82.58,10.1,0,0,green
7.67,7.33,7.17,7.67,7.83,7.5,10,10,10,7.33,0,82.5,11.3,0,0,green
7.75,7.67,7.17,7.67,7.42,7.42,10,10,10,7.42,0,82.5,10,0,0,green
7.5,7.58,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,11.8,0,1,bluish-green
7.33,7.58,7.5,7.5,7.5,7.58,10,10,10,7.5,0,82.5,11.7,0,0,blue-green
7.67,7.42,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,10.7,0,0,pale yellow
7.58,7.58,7.33,7.5,7.58,7.42,10,10,10,7.5,0,82.5,10.6,0,0,green
7.42,7.42,7.58,7.42,7.58,7.5,10,10,10,7.58,0,82.5,8.4,0,0,green
7.58,7.58,7.42,7.42,7.5,7.5,10,10,10,7.42,0,82.42,11.4,0,0,bluish-green
7.5,7.5,7.33,7.5,7.5,7.42,10,10,10,7.58,0,82.33,10.5,0,0,bluish-green
7.5,7.5,7.42,7.42,7.42,7.67,10,10,10,7.42,0,82.33,12,0,7,green
7.33,7.67,7.25,7.67,7.83,7.42,10,10,10,7.17,0,82.33,11.8,0,0,bluish-green
7.67,7.58,7.42,7.5,7.33,7.42,10,10,10,7.42,0,82.33,10.8,0,0,green
7.67,7.5,7.33,7.58,7.33,7.42,10,10,10,7.42,0,82.25,11.7,0,1,greenish
7.75,7.42,7.33,7.5,7.33,7.5,10,10,10,7.33,0,82.17,10.6,1,0,green
7.5,7.5,7.42,7.5,7.25,7.5,10,10,10,7.5,0,82.17,11.2,0,0,green
7.67,7.5,7.25,7.5,7.5,7.33,10,10,10,7.42,0,82.17,10.6,0,0,green
7.5,7.67,7.33,7.5,7.25,7.33,10,10,10,7.5,0,82.08,9.7,0,0,bluish-green
7.33,7.42,7.42,7.5,7.42,7.5,10,10,10,7.5,0,82.08,8.1,0,0,greenish
7.5,7.58,7.42,7.42,7.25,7.42,10,10,10,7.42,0,82,8.2,0,0,green
7.17,7.5,7.42,7.42,7.58,7.5,10,10,10,7.42,0,82,9.8,0,0,green
7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,0,82,10.5,1,2,green
7.42,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0,82,11.5,0,1,blue-green
7.67,7.33,7.25,7.67,7.42,7.25,10,10,10,7.42,0,82,12.5,0,0,bluish-green
7.5,7.5,7.33,7.5,7.33,7.33,10,10,10,7.42,0,81.92,11.6,0,2,greenish
7.33,7.42,7.33,7.42,7.58,7.42,10,10,10,7.42,0,81.92,10.3,0,0,greenish
7.25,7.42,7.42,7.5,7.42,7.42,10,10,10,7.42,0,81.83,11.3,0,0,green
7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.33,0,81.83,11.2,0,0,green
7.5,7.5,7.42,7.33,7.33,7.33,10,10,10,7.42,0,81.83,11.3,0,0,pale yellow
7.42,7.5,7.58,7.33,7.33,7.25,10,10,10,7.33,0,81.75,11.1,0,0,yellow-green
7.33,7.5,7.33,7.42,7.42,7.42,10,10,10,7.33,0,81.75,11.2,0,0,yellow-green
7.58,7.42,7.25,7.25,7.5,7.33,10,10,10,7.33,0,81.67,11.8,2,0,green
7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,0,81.58,9.7,0,2,green
7.42,7.5,7.33,7.33,7.33,7.33,10,10,10,7.33,0,81.58,9,0,0,yellow-green
7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,0,81.5,8.5,0,0,green
7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,0,81.42,11.6,2,0,green
7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,0,81.33,10.5,0,0,yellowish
7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,0,81.17,10.4,0,0,green
7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,0,81.17,11.4,0,2,greenish
7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,0,81,10.6,0,2,greenish
7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,80.83,10.5,0,8,bluish-green
7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,0,80.5,11.5,0,1,greenish
7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,0,80.42,11.2,0,0,green
7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,0,80.42,11,0,3,greenish
7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,0,80.33,11.8,0,6,greenish
7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,80.33,11.5,0,10,bluish-green
7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,0,80.17,11.6,0,1,greenish
7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,80.08,11.4,0,0,green
7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,0,80,10.4,0,2,green
7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,0,79.67,11.6,0,9,green
6.5,6.75,6.75,7.17,7.08,7,10,10,10,6.83,0,78.08,11,0,12,bluish-green
7.25,7.08,6.67,6.83,6.83,6.67,10,10,10,6.67,0,78,11.3,0,0,green
